#,latitude,longitude,d_centre,accommodates,bathrooms,bedrooms,calculated_host_listings_count,guests_included,host_listings_count,minimum_nights,number_of_reviews,instant_bookable,room_type,price
597,52.39132424,4.877210149,2.022369711,2,1,1,1,1,1,1,21,Not Possible,Entire home/apt,106
600,52.36425344,4.93279827,2.807061054,2,1,1,1,1,1,3,21,Not Possible,Entire home/apt,85
603,52.37413149,4.879505243,1.463911175,2,1,1,1,1,1,2,13,Not Possible,Entire home/apt,115
606,52.38625035,4.887014732,1.15109329,2,1,0,1,2,1,3,3,Not Possible,Entire home/apt,120
610,52.35202068,4.846733939,4.679852903,3,1,2,1,2,1,4,19,Not Possible,Entire home/apt,90
611,52.36284219,4.87819714,2.318470475,3,1,2,1,1,1,2,1,Not Possible,Entire home/apt,84
612,52.35807511,4.901555285,2.350706746,4,1,2,1,2,1,3,12,Not Possible,Entire home/apt,135
613,52.31567427,4.953431061,7.953228234,2,1,0,1,1,1,3,1,Not Possible,Entire home/apt,80
614,52.37714132,4.861056356,2.613108481,2,1,1,1,2,1,2,11,Not Possible,Entire home/apt,99
616,52.35618395,4.888205417,2.667495849,2,1,1,1,2,1,3,0,Not Possible,Entire home/apt,156
619,52.36778303,4.874272699,2.12597316,2,1,1,1,1,1,4,25,Not Possible,Entire home/apt,95
620,52.36975861,4.888352035,1.289625068,4,1,2,1,2,1,1,6,Not Possible,Entire home/apt,275
622,52.37538022,4.879803614,1.397123287,2,1,1,1,1,1,5,2,Not Possible,Entire home/apt,190
626,52.37311041,4.874984787,1.790698005,4,1.5,2,1,2,1,7,4,Not Possible,Entire home/apt,100
628,52.36139816,4.981875193,5.9327758,4,1,3,1,4,1,2,8,Not Possible,Entire home/apt,209
629,52.37016246,4.912806888,1.352628362,6,1,2,1,2,1,3,5,Not Possible,Entire home/apt,115
630,52.36833067,4.873293289,2.144853225,4,1,3,1,2,1,3,6,Not Possible,Entire home/apt,100
633,52.3559283,4.883280427,2.807549563,4,1,2,1,1,1,2,69,Not Possible,Entire home/apt,165
635,52.3841187,4.880661237,1.3860191,4,1,2,1,2,1,2,11,Not Possible,Entire home/apt,213
636,52.36256825,4.897684861,1.85077805,2,1,1,1,1,1,2,13,Not Possible,Entire home/apt,175
637,52.37067585,4.872772184,2.041041865,3,1,2,1,2,1,2,14,Not Possible,Entire home/apt,150
638,52.37414861,4.873710634,1.8325241,2,1,1,1,1,1,3,4,Not Possible,Entire home/apt,100
641,52.37314481,4.865869222,2.373804154,3,1,1,1,2,1,2,11,Not Possible,Entire home/apt,149
642,52.36317476,4.911414884,1.956526918,2,1,1,1,1,1,3,7,Not Possible,Entire home/apt,121
644,52.34740986,4.889726896,3.592331406,2,1,1,1,1,2,1,0,Not Possible,Entire home/apt,125
645,52.35017419,4.852550385,4.529431463,3,1.5,2,1,2,1,10,3,Not Possible,Entire home/apt,115
646,52.36593281,4.853900558,3.422265549,2,1,1,1,1,1,3,7,Not Possible,Entire home/apt,80
647,52.35500985,4.905035266,2.713686309,2,1,1,1,1,1,2,11,Not Possible,Entire home/apt,100
649,52.36017789,4.934637294,3.188899267,2,1,1,1,1,1,11,13,Not Possible,Entire home/apt,130
650,52.38441992,4.876970769,1.630615075,2,1,1,1,1,1,2,9,Not Possible,Entire home/apt,110
651,52.37038737,4.883749681,1.445129093,5,2,2,1,1,1,5,2,Not Possible,Entire home/apt,395
652,52.39806409,4.916539111,2.397023319,4,1,2,1,1,1,2,7,Not Possible,Entire home/apt,70
653,52.37299109,4.900962613,0.696536382,2,1,1,1,1,1,4,20,Not Possible,Entire home/apt,199
654,52.36558946,4.863280215,2.880858653,2,1,1,1,1,1,1,8,Not Possible,Entire home/apt,90
657,52.37924493,4.889525041,0.671993347,4,1,2,1,1,1,1,51,Not Possible,Entire home/apt,125
659,52.3486104,4.888547106,3.47738663,2,1,1,1,1,1,2,15,Not Possible,Entire home/apt,120
660,52.350728,4.856432716,4.303007035,2,1,3,1,1,1,2,3,Not Possible,Entire home/apt,120
661,52.37475393,4.868200189,2.17519968,4,1,2,1,3,1,1,4,Not Possible,Entire home/apt,159
662,52.38972827,4.889417909,1.353847885,2,1,2,1,1,1,2,34,Not Possible,Entire home/apt,90
663,52.3816847,4.881436499,1.251722359,2,1,1,1,1,1,3,10,Not Possible,Entire home/apt,119
664,52.34522854,4.907127994,3.809834626,2,1,1,1,1,1,3,2,Not Possible,Entire home/apt,80
665,52.37073899,4.92498502,1.971581733,3,1,2,1,1,1,2,1,Not Possible,Entire home/apt,130
667,52.37610998,4.864915371,2.366297391,2,1,1,1,1,1,3,5,Not Possible,Entire home/apt,90
668,52.36347038,4.927655087,2.591899378,2,1,1,1,1,1,3,2,Not Possible,Entire home/apt,96
669,52.36194395,4.866686522,2.933955612,4,1,2,1,1,1,4,1,Not Possible,Entire home/apt,125
672,52.34536727,4.903801576,3.770127968,4,1.5,2,1,1,1,2,22,Not Possible,Entire home/apt,198
673,52.34522657,4.85990631,4.630084433,2,1.5,1,1,1,1,2,14,Not Possible,Entire home/apt,125
676,52.34938459,4.834161898,5.530405318,4,1.5,2,1,1,1,1,22,Not Possible,Entire home/apt,140
677,52.35265266,4.893143277,2.979558418,4,1,1,1,2,1,2,33,Not Possible,Entire home/apt,165
678,52.38170518,4.914400922,1.053240283,2,1,1,1,2,2,4,10,Not Possible,Entire home/apt,105
679,52.3571775,4.908668011,2.525048771,2,1,1,1,1,1,2,25,Not Possible,Entire home/apt,150
680,52.34877749,4.904835542,3.39932382,2,1,1,1,1,1,2,3,Not Possible,Entire home/apt,99
683,52.35450644,4.892140979,2.787098948,2,1.5,1,1,1,1,2,11,Not Possible,Entire home/apt,180
687,52.36151526,4.861960343,3.212571666,2,1,1,1,1,1,2,5,Not Possible,Entire home/apt,115
688,52.3915939,4.936863512,2.888951858,5,1,3,1,1,1,2,1,Not Possible,Entire home/apt,120
689,52.38022374,4.882469902,1.156264514,2,1,1,1,1,1,3,28,Not Possible,Entire home/apt,110
691,52.35538646,4.85145436,4.19447379,4,3,6,1,4,1,3,3,Not Possible,Entire home/apt,200
693,52.36121082,4.928560933,2.81025401,6,1.5,2,1,4,1,2,2,Not Possible,Entire home/apt,110
696,52.34503149,4.902935572,3.803199743,4,1,2,1,1,1,4,25,Not Possible,Entire home/apt,135
697,52.35574196,4.913369284,2.771885971,3,1,2,1,1,1,1,3,Not Possible,Entire home/apt,130
699,52.37197559,4.877292655,1.702394167,2,1,1,1,1,1,3,5,Not Possible,Entire home/apt,130
700,52.33768667,4.866757876,5.117320652,3,1,2,1,2,1,6,5,Not Possible,Entire home/apt,119
701,52.35273882,4.857220311,4.104019734,2,1,1,1,1,0,2,1,Not Possible,Entire home/apt,100
702,52.36215843,4.901399262,1.897230226,4,1,1,1,2,1,1,11,Not Possible,Entire home/apt,179
703,52.35930072,4.894605372,2.234208464,2,1,1,1,1,1,3,24,Not Possible,Entire home/apt,95
704,52.37009562,4.865855977,2.491863438,2,1,1,1,1,1,2,6,Not Possible,Entire home/apt,110
705,52.35197629,4.934826517,3.861759448,4,1,2,1,4,1,2,7,Not Possible,Entire home/apt,160
708,52.35315901,4.916506271,3.116003898,5,1,4,1,1,1,14,3,Not Possible,Entire home/apt,125
709,52.36854051,4.8761413,1.97401625,2,1,1,1,1,1,2,9,Not Possible,Entire home/apt,135
713,52.3607615,4.944993036,3.708041169,4,1,2,1,1,1,2,4,Not Possible,Entire home/apt,130
715,52.37978359,4.865194035,2.323368925,2,1,1,1,1,1,1,50,Not Possible,Entire home/apt,95
716,52.35304862,4.883196049,3.106721961,3,1,2,1,1,1,2,1,Not Possible,Entire home/apt,120
717,52.35717092,4.892950942,2.485953208,2,1,1,1,2,1,2,16,Not Possible,Entire home/apt,150
719,52.36044352,4.850921089,3.895150478,2,1,1,1,1,1,2,2,Not Possible,Entire home/apt,120
720,52.37765097,4.85313136,3.145411044,2,1,2,1,1,1,2,6,Not Possible,Entire home/apt,136
722,52.37306381,4.861930124,2.63350985,2,1,1,1,4,1,3,8,Not Possible,Entire home/apt,125
724,52.35714801,4.91297809,2.616106777,2,1,1,1,1,1,2,2,Not Possible,Entire home/apt,164
725,52.37532335,4.859856814,2.718760841,2,1,1,1,2,1,3,17,Not Possible,Entire home/apt,74
727,52.36474234,4.864107987,2.884530963,2,1,1,1,1,1,2,12,Not Possible,Entire home/apt,115
728,52.38337124,4.872928288,1.85681445,2,1.5,1,1,1,1,3,13,Not Possible,Entire home/apt,97
730,52.34925921,4.859070936,4.308432611,2,1,1,1,1,1,2,5,Not Possible,Entire home/apt,129
731,52.35447081,4.898635029,2.747342899,4,1,2,1,1,1,1,3,Not Possible,Entire home/apt,125
732,52.36998657,4.879435888,1.69877638,2,1,1,1,1,1,4,4,Not Possible,Entire home/apt,100
733,52.37130383,4.849586772,3.493142361,2,1,0,1,1,1,2,0,Not Possible,Entire home/apt,125
736,52.38828744,4.94618339,3.328377006,5,1,3,1,2,1,2,4,Not Possible,Entire home/apt,90
737,52.38548672,4.911753734,1.09014094,4,1,2,1,1,1,2,17,Not Possible,Entire home/apt,220
739,52.38180566,4.881969082,1.219653112,2,1,1,1,1,1,2,3,Not Possible,Entire home/apt,100
740,52.36949686,4.869471571,2.300236221,4,1,2,1,1,1,1,0,Not Possible,Entire home/apt,122
741,52.37566189,4.874386035,1.743603779,2,1,1,1,1,1,5,0,Not Possible,Entire home/apt,125
742,52.35247301,4.882252821,3.189445112,5,1.5,2,1,2,1,3,0,Not Possible,Entire home/apt,290
744,52.35222419,4.893649306,3.022040503,4,1,3,1,4,1,4,12,Not Possible,Entire home/apt,200
745,52.3924225,4.870912443,2.429796931,2,1,2,1,2,1,2,1,Not Possible,Entire home/apt,120
747,52.38695511,4.915659099,1.398708925,2,1,1,1,1,1,3,10,Not Possible,Entire home/apt,89
751,52.37756104,4.862103429,2.538595143,2,0.5,1,1,1,1,5,0,Not Possible,Entire home/apt,125
755,52.37231119,4.920107406,1.597393586,2,1,1,1,1,1,2,0,Not Possible,Entire home/apt,140
756,52.36126449,4.85520422,3.601633187,2,1,2,1,1,1,2,10,Not Possible,Entire home/apt,120
757,52.38400742,4.869917849,2.072269678,2,1,0,1,1,1,2,26,Not Possible,Entire home/apt,95
758,52.37522666,4.947230679,3.272367957,4,1,1,1,2,1,3,2,Not Possible,Entire home/apt,90
759,52.3535558,4.920047267,3.173456698,2,1,1,1,1,1,2,34,Not Possible,Entire home/apt,105
762,52.34660046,4.903596725,3.632421918,2,1,1,1,1,1,2,0,Not Possible,Entire home/apt,100
763,52.36852006,4.873448901,2.124313281,2,1,1,1,1,1,5,10,Not Possible,Entire home/apt,150
764,52.37025705,4.835728852,4.434153438,2,1,2,1,1,1,2,6,Not Possible,Entire home/apt,90
766,52.37944283,4.870260527,1.978957606,2,1,0,1,1,1,1,5,Not Possible,Entire home/apt,90
770,52.36128289,4.929312546,2.84073262,4,1,2,1,1,1,5,1,Not Possible,Entire home/apt,75
774,52.36218255,4.944942342,3.62024886,3,1,2,1,1,1,2,5,Not Possible,Entire home/apt,99
778,52.36828214,4.91707232,1.703356619,2,1,1,1,1,1,2,36,Not Possible,Entire home/apt,120
780,52.38004936,4.881838044,1.197220092,2,1,0,1,1,1,2,11,Not Possible,Entire home/apt,100
782,52.3706572,4.909214051,1.157313478,2,1,1,1,1,1,2,0,Not Possible,Entire home/apt,109
783,52.36949463,4.912993577,1.416740147,2,1,1,1,1,1,4,13,Not Possible,Entire home/apt,111
784,52.35196442,4.915524958,3.216403076,2,1,1,1,1,1,3,0,Not Possible,Entire home/apt,130
787,52.36008727,4.893986326,2.154587486,2,1,1,1,1,2,2,1,Not Possible,Entire home/apt,125
791,52.3645143,4.900096076,1.631351847,4,1,1,1,2,1,2,1,Not Possible,Entire home/apt,275
792,52.35674242,4.915269123,2.716023315,4,1,1,1,2,1,2,19,Not Possible,Entire home/apt,196
793,52.37771763,4.897158671,0.224710835,2,1,1,1,1,1,3,0,Not Possible,Entire home/apt,200
797,52.35314792,4.912763735,3.031935944,2,1,0,1,1,1,2,4,Not Possible,Entire home/apt,90
798,52.35373554,4.883814591,3.020487222,4,1,3,1,1,1,3,1,Not Possible,Entire home/apt,185
800,52.37290217,4.887872148,1.050218031,2,1,1,1,2,1,4,2,Not Possible,Entire home/apt,195
801,52.36124277,4.85790625,3.451777492,2,1.5,1,1,1,1,3,7,Not Possible,Entire home/apt,110
803,52.36439279,4.939439259,3.173549524,4,1,2,1,1,1,3,33,Not Possible,Entire home/apt,65
808,52.37188838,4.904519919,0.881682456,2,1,2,1,2,1,3,4,Not Possible,Entire home/apt,125
809,52.36283414,4.860528504,3.204621042,2,1,1,1,2,1,3,1,Not Possible,Entire home/apt,79
810,52.37847909,4.885446169,0.951935118,3,1.5,2,1,3,1,3,7,Not Possible,Entire home/apt,185
811,52.37727356,4.849948496,3.36343186,2,1,2,1,1,1,3,6,Not Possible,Entire home/apt,90
812,52.37307246,4.852522176,3.254033055,2,1,1,1,1,1,3,6,Not Possible,Entire home/apt,119
814,52.37846364,4.85149789,3.252540548,2,1,2,1,1,1,1,7,Not Possible,Entire home/apt,95
815,52.37436666,4.836612888,4.295024759,3,1,1,1,2,1,2,0,Not Possible,Entire home/apt,110
817,52.35412143,4.890952364,2.844424559,4,1,3,1,2,1,2,31,Not Possible,Entire home/apt,149
818,52.35750118,4.909699091,2.508741973,2,1,1,1,2,1,1,2,Not Possible,Entire home/apt,129
820,52.36780939,4.871039114,2.304201094,4,2,4,1,4,1,4,11,Not Possible,Entire home/apt,175
821,52.37031408,4.873130075,2.038706325,3,1.5,0,1,3,1,4,16,Not Possible,Entire home/apt,145
824,52.37353565,4.873932316,1.840347288,3,1,1,1,1,1,2,3,Not Possible,Entire home/apt,100
825,52.3698233,4.850883514,3.454069682,2,1,1,1,1,2,5,0,Not Possible,Entire home/apt,125
826,52.3530911,4.853602664,4.252144654,2,1,1,1,2,1,1,14,Not Possible,Entire home/apt,155
833,52.3505621,4.907854624,3.232112031,2,1,1,1,1,1,1,0,Not Possible,Entire home/apt,80
834,52.35869503,4.92383074,2.815545061,4,1,2,1,1,1,4,4,Not Possible,Entire home/apt,140
836,52.3749003,4.900559178,0.482688785,3,1,1,1,1,1,3,21,Not Possible,Entire home/apt,110
839,52.38268273,4.85110965,3.300634456,2,1,2,1,2,1,1,0,Not Possible,Entire home/apt,120
840,52.35419212,4.992695128,6.911118114,8,2,4,1,1,1,3,9,Not Possible,Entire home/apt,300
841,52.37484772,4.841017542,3.991896141,3,1,0,1,1,1,2,3,Not Possible,Entire home/apt,100
842,52.35929938,4.925778453,2.842691806,2,1,2,1,1,1,2,2,Not Possible,Entire home/apt,96
843,52.35441179,4.851119866,4.280985781,5,1.5,3,1,1,1,7,3,Not Possible,Entire home/apt,333
845,52.37600664,4.943144849,2.986422894,8,1.5,5,1,6,1,3,6,Not Possible,Entire home/apt,250
846,52.36355018,4.873807654,2.458128141,4,1,2,1,1,1,1,0,Not Possible,Entire home/apt,156
847,52.36779017,4.854399881,3.307246151,2,1,1,1,1,1,2,12,Not Possible,Entire home/apt,75
851,52.37391129,4.866957714,2.279671607,2,1,1,1,1,1,4,28,Not Possible,Entire home/apt,130
852,52.35544281,4.85150555,4.187828964,3,1,2,1,1,1,4,0,Not Possible,Entire home/apt,225
853,52.39091292,4.876284317,2.040106714,2,1,1,1,1,1,4,0,Not Possible,Entire home/apt,114
854,52.36540845,4.877322006,2.14360321,2,1,1,1,2,1,2,1,Not Possible,Entire home/apt,120
855,52.36271369,4.861794813,3.142020453,2,1,1,1,1,1,3,2,Not Possible,Entire home/apt,110
856,52.3787737,4.887619197,0.802578635,3,1,1,1,2,1,2,35,Not Possible,Entire home/apt,240
857,52.3648637,4.882448032,1.965133723,2,1.5,1,1,1,1,1,8,Not Possible,Entire home/apt,140
860,52.35524664,4.905075811,2.688025462,4,1,2,1,1,1,2,1,Not Possible,Entire home/apt,140
861,52.35789024,4.856826961,3.736056622,2,1,1,1,2,1,3,96,Not Possible,Entire home/apt,110
862,52.37679738,4.893851733,0.462469463,2,1,0,1,1,1,1,6,Not Possible,Entire home/apt,96
863,52.35249629,4.858779212,4.050608259,3,1,1,1,2,1,3,9,Not Possible,Entire home/apt,100
866,52.36139113,4.935949653,3.170292507,2,1,1,1,1,1,1,2,Not Possible,Entire home/apt,75
868,52.30869962,4.983838719,9.705390566,4,1,3,1,4,1,5,4,Not Possible,Entire home/apt,117
869,52.38112846,4.859094768,2.744600136,3,1,2,1,1,1,1,14,Not Possible,Entire home/apt,120
870,52.36623473,4.8632063,2.848209119,4,1,2,1,4,1,2,43,Not Possible,Entire home/apt,175
872,52.36325027,4.940205886,3.284861419,4,1,2,1,1,1,3,2,Not Possible,Entire home/apt,100
878,52.36778193,4.86336173,2.755887231,3,1.5,2,1,1,1,3,7,Not Possible,Entire home/apt,89
880,52.34639851,4.849313604,4.984381638,2,1,1,1,1,1,2,3,Not Possible,Entire home/apt,110
882,52.37560067,4.861952707,2.573502012,3,1,1,1,2,1,3,14,Not Possible,Entire home/apt,120
883,52.3447877,4.86305134,4.550705197,3,1,1,1,1,1,2,5,Not Possible,Entire home/apt,145
884,52.34340157,4.906438102,4.005209836,4,1,2,1,2,1,2,2,Not Possible,Entire home/apt,100
887,52.37315048,4.878683952,1.559239414,2,1,1,1,2,1,3,5,Not Possible,Entire home/apt,120
888,52.35560209,4.893277583,2.65414475,4,2.5,3,1,1,1,3,0,Not Possible,Entire home/apt,347
889,52.357991,4.915237837,2.588292874,4,1,1,1,2,1,3,8,Not Possible,Entire home/apt,100
891,52.34548551,4.869822512,4.250218319,2,1,2,1,1,0,2,1,Not Possible,Entire home/apt,145
893,52.36185288,4.85751245,3.435127613,2,1,1,1,1,1,3,1,Not Possible,Entire home/apt,140
896,52.37684866,4.89246773,0.539223904,2,1,1,1,1,1,2,32,Not Possible,Entire home/apt,129
899,52.36376886,4.868618026,2.703087965,2,1,1,1,1,1,2,1,Not Possible,Entire home/apt,104
903,52.38526982,4.89082187,0.893093794,4,1,2,1,2,1,3,1,Not Possible,Entire home/apt,250
904,52.35702775,4.89692103,2.46855351,4,1,1,1,2,1,2,2,Not Possible,Entire home/apt,130
905,52.35814585,4.896662196,2.345957029,2,1,1,1,1,1,5,0,Not Possible,Entire home/apt,175
906,52.36415436,4.800813185,6.896260643,2,1,0,1,1,1,3,13,Not Possible,Entire home/apt,79
907,52.38044782,4.868504545,2.102507124,3,1,1,1,1,1,1,3,Not Possible,Entire home/apt,120
908,52.35586646,4.933061566,3.453134165,8,1,3,1,4,1,2,0,Not Possible,Entire home/apt,119
909,52.34373486,4.895045379,3.95107048,6,2,4,1,1,1,14,0,Not Possible,Entire home/apt,255
912,52.35846059,4.856958489,3.689240261,2,1,1,1,1,1,3,8,Not Possible,Entire home/apt,95
913,52.35990894,4.911373293,2.290599473,5,1,3,1,4,1,4,8,Not Possible,Entire home/apt,175
914,52.36335645,4.932986402,2.877232103,2,1,1,1,1,1,1,3,Not Possible,Entire home/apt,100
915,52.3576088,4.926660816,3.027277216,2,1.5,1,1,2,1,2,3,Not Possible,Entire home/apt,120
916,52.35441085,4.888938177,2.844034638,2,1,1,1,1,1,14,5,Not Possible,Entire home/apt,150
918,52.34290912,4.911699723,4.116678504,2,1,1,1,1,1,2,4,Not Possible,Entire home/apt,125
919,52.36212216,4.898177595,1.898460478,4,2.5,3,1,3,1,3,14,Not Possible,Entire home/apt,396
922,52.39074585,4.874670682,2.114152058,2,1,1,1,1,1,2,6,Not Possible,Entire home/apt,90
923,52.37567798,4.947295251,3.270330319,2,1,1,1,2,1,2,9,Not Possible,Entire home/apt,85
925,52.36480242,4.841480797,4.244268493,4,1,2,1,4,1,2,12,Not Possible,Entire home/apt,110
926,52.34512493,4.899678604,3.785410469,4,2,2,1,4,1,4,2,Not Possible,Entire home/apt,123
929,52.32244212,4.85773509,6.912011595,2,1,1,1,1,1,3,13,Not Possible,Entire home/apt,105
933,52.36526841,4.877385415,2.151757096,2,1,1,1,1,1,3,4,Not Possible,Entire home/apt,85
934,52.37988737,4.829327062,4.756055778,3,1,1,1,3,1,3,66,Not Possible,Entire home/apt,75
937,52.3705455,4.877663995,1.76159388,2,1,0,1,1,1,2,25,Not Possible,Entire home/apt,112
939,52.34216738,4.797552588,8.045204932,5,1,2,1,1,1,4,1,Not Possible,Entire home/apt,375
942,52.35567838,4.940376555,3.813725258,4,1,2,1,1,1,1,0,Not Possible,Entire home/apt,350
945,52.35874153,4.91335382,2.460774458,2,1,1,1,1,1,4,8,Not Possible,Entire home/apt,135
946,52.3713558,4.852480611,3.3019381,2,1,1,1,2,1,2,12,Not Possible,Entire home/apt,79
948,52.35886528,4.858072902,3.602107808,2,1,1,1,1,1,1,4,Not Possible,Entire home/apt,135
949,52.37083441,4.890280507,1.116825456,2,1,1,1,1,1,2,0,Not Possible,Entire home/apt,159
950,52.38527919,4.888236315,1.017156864,2,1,2,1,2,1,5,8,Not Possible,Entire home/apt,125
952,52.39831471,4.925242169,2.75342878,4,1,3,1,2,1,2,1,Not Possible,Entire home/apt,168
953,52.36459413,4.863134626,2.948656446,3,1,1,1,1,1,3,0,Not Possible,Entire home/apt,95
954,52.36743286,4.919032821,1.86418975,3,1,2,1,1,1,1,135,Not Possible,Entire home/apt,176
955,52.3636252,4.862448904,3.047435097,4,1,2,1,1,1,3,9,Not Possible,Entire home/apt,140
959,52.38258731,4.874046604,1.762794643,2,1,1,1,1,1,3,14,Not Possible,Entire home/apt,125
962,52.36860084,4.91514965,1.587956898,2,1,1,1,1,1,2,5,Not Possible,Entire home/apt,125
964,52.35000601,4.849062084,4.711547216,2,1,1,1,1,1,2,19,Not Possible,Entire home/apt,110
965,52.35296227,4.894847419,2.930996589,2,1,1,1,2,1,3,16,Not Possible,Entire home/apt,130
966,52.36711756,4.926237676,2.259867031,4,1,2,1,2,1,2,3,Not Possible,Entire home/apt,150
967,52.36835778,4.878741033,1.849047122,4,1,2,1,2,1,2,11,Not Possible,Entire home/apt,150
968,52.37130492,4.873508005,1.964779821,2,1,1,1,1,1,3,0,Not Possible,Entire home/apt,157
970,52.36441538,4.900877227,1.644649525,2,1.5,1,1,2,1,3,46,Not Possible,Entire home/apt,239
971,52.37455903,4.949233464,3.417450686,6,1.5,3,1,6,1,3,1,Not Possible,Entire home/apt,220
972,52.37761367,4.895960807,0.293359635,3,1,2,1,1,1,7,0,Not Possible,Entire home/apt,160
973,52.37248008,4.847034011,3.631930693,3,1,2,1,2,1,2,11,Not Possible,Entire home/apt,110
974,52.36275585,4.874712819,2.479372413,2,1.5,1,1,1,1,4,1,Not Possible,Entire home/apt,119
975,52.3535113,4.851089596,4.34759533,2,1,1,1,1,1,2,10,Not Possible,Entire home/apt,99
976,52.36044825,4.863449756,3.208887567,2,1,1,1,1,1,1,5,Not Possible,Entire home/apt,70
978,52.38498238,4.880420249,1.441274498,3,1,1,1,2,1,2,20,Not Possible,Entire home/apt,199
979,52.36407464,4.924998766,2.414558126,4,1.5,3,1,2,1,3,13,Not Possible,Entire home/apt,110
981,52.35713895,4.9133915,2.627032428,4,1,1,1,1,1,6,3,Not Possible,Entire home/apt,90
983,52.37031134,4.835910455,4.420794031,3,1.5,1,1,1,1,2,8,Not Possible,Entire home/apt,115
986,52.37037238,4.86239825,2.696625637,4,1,2,1,1,1,3,6,Not Possible,Entire home/apt,150
989,52.37074432,4.89435437,0.999618717,2,1,1,1,2,1,3,138,Not Possible,Entire home/apt,160
990,52.37602573,4.87861225,1.455368162,2,1,1,1,1,1,6,1,Not Possible,Entire home/apt,130
991,52.3586804,4.914355115,2.493853122,4,1,2,1,1,5,3,9,Not Possible,Entire home/apt,150
993,52.38403508,4.905561108,0.680369603,16,1.5,8,1,12,1,2,15,Not Possible,Entire home/apt,420
995,52.38291704,4.857959806,2.843397572,2,1,1,1,2,1,2,9,Not Possible,Entire home/apt,95
997,52.36637286,4.871313339,2.380620477,3,1,1,1,1,1,2,25,Not Possible,Entire home/apt,100
998,52.36354701,4.863400494,2.999530938,2,1,1,1,1,1,2,18,Not Possible,Entire home/apt,90
999,52.39340472,4.910268516,1.742356582,4,1,2,1,1,1,1,32,Not Possible,Entire home/apt,149
1002,52.37028431,4.865180758,2.52551023,2,1,1,1,1,1,3,3,Not Possible,Entire home/apt,89
1003,52.37411036,4.864366244,2.444766564,2,1,1,1,1,1,2,5,Not Possible,Entire home/apt,85
1005,52.34756762,4.90033513,3.514464745,2,1,1,1,1,1,6,4,Not Possible,Entire home/apt,189
1006,52.36537246,4.841167341,4.240608885,4,1,2,1,2,1,1,0,Not Possible,Entire home/apt,90
1009,52.35149338,4.903925024,3.092749175,2,1,1,1,1,1,2,17,Not Possible,Entire home/apt,138
1010,52.3561695,4.837555633,4.916292731,6,1.5,2,1,2,2,2,14,Not Possible,Entire home/apt,150
1011,52.3879974,4.878504122,1.724202008,2,1,1,1,2,1,3,2,Not Possible,Entire home/apt,100
1012,52.36017426,4.864637239,3.16825574,4,1,2,1,1,1,4,32,Not Possible,Entire home/apt,242
1014,52.36183736,4.867065363,2.922344914,2,1,1,1,1,1,4,1,Not Possible,Entire home/apt,107
1018,52.35745495,4.910485674,2.528990127,4,1.5,2,1,1,1,3,5,Not Possible,Entire home/apt,150
1019,52.36084745,4.85573227,3.597899729,6,1,3,1,4,1,3,8,Not Possible,Entire home/apt,150
1020,52.3483485,4.834406091,5.587060765,4,1,1,1,1,1,2,18,Not Possible,Entire home/apt,119
1023,52.35799538,4.853427192,3.910214487,3,1.5,2,1,1,1,3,6,Not Possible,Entire home/apt,140
1026,52.35466392,4.852392471,4.196975352,2,1.5,1,1,1,1,1,3,Not Possible,Entire home/apt,159
1027,52.34543483,4.932192511,4.360294956,3,1,1,1,1,1,4,0,Not Possible,Entire home/apt,80
1028,52.35584774,4.902021899,2.599750401,2,1,1,1,1,1,1,116,Not Possible,Entire home/apt,99
1030,52.37968946,4.882330975,1.161296195,2,1,1,1,1,1,4,2,Not Possible,Entire home/apt,80
1031,52.35227999,4.924790314,3.450029916,4,1,2,1,4,1,2,10,Not Possible,Entire home/apt,120
1032,52.37768617,4.853722714,3.105142144,3,1,1,1,2,1,2,18,Not Possible,Entire home/apt,89
1034,52.36282269,4.932718447,2.89970869,2,1,1,1,1,1,2,2,Not Possible,Entire home/apt,99
1036,52.36509321,4.87612716,2.225607815,2,1,1,1,2,1,3,161,Not Possible,Entire home/apt,125
1037,52.36361832,4.936783224,3.068575017,4,1,1,1,1,1,1,12,Not Possible,Entire home/apt,90
1038,52.37974501,4.870895955,1.936632013,2,1,1,1,1,2,2,9,Not Possible,Entire home/apt,115
1039,52.35613202,4.897710169,2.564868269,2,1,1,1,2,1,3,24,Not Possible,Entire home/apt,150
1041,52.39419919,4.925107668,2.411422012,2,1,1,1,1,1,2,1,Not Possible,Entire home/apt,75
1042,52.36092043,4.867445705,2.971675467,2,1,1,1,1,1,2,6,Not Possible,Entire home/apt,120
1043,52.37071099,4.876097631,1.842103171,4,1,1,1,1,1,5,2,Not Possible,Entire home/apt,137
1048,52.35015318,4.802909562,7.301276011,2,1,1,1,1,1,2,3,Not Possible,Entire home/apt,90
1050,52.36955499,4.854564907,3.226584137,2,1,1,1,1,1,3,4,Not Possible,Entire home/apt,90
1051,52.33203304,4.877929936,5.439608756,4,1,1,1,2,1,1,2,Not Possible,Entire home/apt,250
1052,52.34763032,4.847851198,4.954768789,2,1,1,1,1,1,2,6,Not Possible,Entire home/apt,100
1053,52.36980784,4.88856741,1.276692993,2,1,1,1,1,1,2,0,Not Possible,Entire home/apt,165
1054,52.34521144,4.908180885,3.822162717,2,1,1,1,1,1,3,0,Not Possible,Entire home/apt,89
