#,latitude,longitude,d_centre,accommodates,bathrooms,bedrooms,calculated_host_listings_count,guests_included,host_listings_count,minimum_nights,number_of_reviews,instant_bookable,room_type,review_avg,price
3555,52.35783313,4.925682961,2.967269312,2,1,1,1,1,1,2,3,Not Possible,Entire home/apt,0.79139317,120
3564,52.37045111,4.892763388,1.071190079,2,1,1,1,1,1,2,2,Possible,Entire home/apt,0.800249148,160
3577,52.3752204,4.877449931,1.554988654,2,1,1,1,1,1,2,31,Not Possible,Entire home/apt,0.708192612,105
3589,52.38443491,4.852072977,3.2647804,2,1,1,45,1,47,2,10,Possible,Entire home/apt,0.84600606,89
3598,52.3625703,4.929674895,2.760626331,2,1,1,1,1,1,2,9,Not Possible,Entire home/apt,0.755035829,80
3600,52.38896198,4.879542084,1.731836773,2,1,1,15,1,16,2,0,Possible,Entire home/apt,0.882268394,79
3612,52.37734725,4.87636924,1.577744787,2,1,1,1,1,1,2,2,Not Possible,Private room,0.756254714,90
3614,52.31892099,4.943849074,7.344704701,2,1,1,1,1,1,2,5,Not Possible,Private room,0.725950088,70
3616,52.36040081,4.859602393,3.414913925,2,1,1,1,1,1,2,2,Not Possible,Entire home/apt,0.703433271,120
3629,52.35763739,4.918916994,2.735640407,2,1,1,1,1,1,2,22,Not Possible,Entire home/apt,0.702216038,108
3632,52.37839579,4.857243839,2.863124674,2,1,1,1,1,1,2,11,Not Possible,Entire home/apt,0.707009534,109
3635,52.3617838,4.861338637,3.228080849,2,1,1,1,1,1,2,0,Not Possible,Private room,0.818626881,115
3641,52.35558638,4.895866738,2.633969582,2,1,1,1,1,1,2,10,Not Possible,Entire home/apt,0.761323085,109
3645,52.36977874,4.878987714,1.736960441,2,1,1,1,1,1,2,236,Not Possible,Private room,0.855582496,85
3658,52.37368078,4.846568717,3.637969892,2,1,1,1,1,1,2,19,Not Possible,Entire home/apt,0.796765364,120
3662,52.36669553,4.864008575,2.775401339,2,1,1,28,1,28,2,10,Possible,Entire home/apt,0.732084531,79
3664,52.408475,4.917681838,3.48179551,2,1,1,1,1,1,2,0,Not Possible,Entire home/apt,0.80226817,85
3668,52.37858866,4.881410158,1.224260791,2,1,1,1,1,1,2,14,Not Possible,Entire home/apt,0.769696662,140
3670,52.37085,4.886900366,1.257526015,2,1,1,1,1,1,2,19,Not Possible,Entire home/apt,0.727023398,250
3678,52.36097279,4.863632136,3.161841077,2,1,1,1,1,1,2,1,Not Possible,Entire home/apt,0.744409616,85
3679,52.37336349,4.893641291,0.75719329,2,1,1,2,1,2,2,61,Possible,Private room,0.710924421,125
3680,52.36115164,4.90740913,2.076208501,2,1,1,1,1,1,2,26,Not Possible,Entire home/apt,0.762592657,115
3685,52.37101836,4.858418322,2.926730397,2,1,1,1,1,1,2,7,Not Possible,Entire home/apt,0.810958945,80
3689,52.3577141,4.918749021,2.72267524,2,1,1,1,1,1,2,2,Not Possible,Entire home/apt,0.786482848,70
3691,52.40704104,4.915531065,3.281983377,2,1,1,1,1,1,2,47,Not Possible,Private room,0.723073642,65
3693,52.36301035,4.927406089,2.614338721,2,1,1,1,1,1,2,7,Not Possible,Entire home/apt,0.741304644,160
3695,52.37806892,4.832956121,4.511059773,2,1,1,1,1,1,2,20,Not Possible,Private room,0.719823219,69
3706,52.35389759,4.874666456,3.274540082,2,1,1,1,1,1,2,7,Not Possible,Entire home/apt,0.792742623,120
3707,52.37599997,4.859903212,2.704757883,2,1,1,1,1,1,2,3,Not Possible,Entire home/apt,0.727564981,150
3708,52.38062986,4.878329954,1.440281606,2,1,1,1,1,1,2,0,Possible,Entire home/apt,0.742008074,150
3717,52.36599237,4.873739989,2.277846848,2,1,1,45,1,47,2,8,Possible,Entire home/apt,0.703683831,79
3719,52.36562484,4.880286434,1.989735494,2,1,1,3,1,3,2,148,Not Possible,Private room,0.861412728,69
3726,52.38095069,4.881546732,1.228839011,2,1,1,1,1,1,2,14,Not Possible,Entire home/apt,0.75170047,160
